1,100.0
2,102.5
3,105.0
4,107.5
5,110.0
6,112.5
7,115.0
8,117.5
9,120.0
10,122.5
11,125.0
12,127.5
13,130.0
14,132.5
15,135.0
16,137.5
17,140.0
18,142.5
19,145.0
20,147.5
21,150.0
22,152.5
23,155.0
24,157.5
25,160.0
26,162.5
27,165.0
28,167.5
29,170.0
30,172.5
31,175.0
32,177.5
33,180.0
34,182.5
35,185.0
36,187.5
37,190.0
38,192.5
39,195.0
40,197.5
41,200.0
42,202.5
43,205.0
44,207.5
45,210.0
46,212.5
47,215.0
48,217.5
49,220.0
50,222.5
51,225.0
52,227.5
53,230.0
54,232.5
55,235.0
56,237.5
57,240
